,Date,Qty,MRP,SP,Promotions,Store_Code,Sales_Qty,closing-inventory
0,2015-12-13,81,0,0,0,Store1,0,81
1,2015-12-20,346,0,0,0,Store1,0,427
2,2015-12-27,0,0,0,0,Store1,0,427
3,2016-01-03,130,958,826,0,Store1,60,497
4,2016-01-10,0,812,721,0,Store1,72,425
5,2016-01-17,106,939,753,0,Store1,125,406
6,2016-01-24,14,865,717,0,Store1,65,355
7,2016-01-31,0,876,751,0,Store1,100,255
8,2016-02-07,0,961,820,0,Store1,70,185
9,2016-02-14,98,999,829,0,Store1,47,236
10,2016-02-21,48,901,779,0,Store1,57,227
11,2016-02-28,168,877,837,0,Store1,43,352
12,2016-03-06,0,1092,1077,0,Store1,39,313
13,2016-03-13,168,853,853,0,Store1,37,444
14,2016-03-20,0,1021,1021,0,Store1,32,412
15,2016-03-27,100,852,852,0,Store1,56,456
16,2016-04-03,0,783,783,0,Store1,43,413
17,2016-04-10,0,742,742,0,Store1,81,332
18,2016-04-17,0,830,830,0,Store1,80,252
19,2016-04-24,0,781,778,0,Store1,29,223
20,2016-05-01,0,721,721,0,Store1,34,189
21,2016-05-08,107,915,915,0,Store1,47,249
22,2016-05-15,0,512,512,0,Store1,36,213
23,2016-05-22,156,693,693,0,Store1,53,316
24,2016-05-29,0,772,772,0,Store1,58,258
25,2016-06-05,47,848,848,0,Store1,41,264
26,2016-06-12,0,810,808,0,Store1,46,218
27,2016-06-19,0,812,812,0,Store1,39,179
28,2016-06-26,560,809,809,0,Store1,39,700
29,2016-07-03,-244,983,642,0,Store1,137,319
30,2016-07-10,111,1028,647,0,Store1,150,280
31,2016-07-17,329,891,598,0,Store1,103,506
32,2016-07-24,0,844,649,0,Store1,91,415
33,2016-07-31,117,970,815,0,Store1,54,478
34,2016-08-07,0,868,722,0,Store1,75,403
35,2016-08-14,0,979,803,0,Store1,67,336
36,2016-08-21,191,900,791,0,Store1,61,466
37,2016-08-28,0,827,827,0,Store1,31,435
38,2016-09-04,0,839,817,0,Store1,19,416
39,2016-09-11,127,771,771,0,Store1,23,520
40,2016-09-18,127,978,978,0,Store1,36,611
41,2016-09-25,101,916,916,0,Store1,30,682
42,2016-10-02,0,900,900,0,Store1,61,621
43,2016-10-09,0,874,874,0,Store1,43,578
44,2016-10-16,0,819,763,0,Store1,55,523
45,2016-10-23,0,924,912,0,Store1,43,480
46,2016-10-30,-1059,927,927,0,Store1,28,-607
47,2016-11-06,0,852,852,0,Store1,33,-640
48,2016-11-13,0,1005,1005,0,Store1,39,-679
49,2016-11-20,130,599,599,0,Store1,41,-590
50,2016-11-27,0,1024,1024,0,Store1,39,-629
51,2016-12-04,-537,697,679,0,Store1,32,-1198
52,2016-12-11,577,1038,1022,0,Store1,39,-660
53,2016-12-18,0,760,742,0,Store1,43,-703
54,2016-12-25,0,889,851,0,Store1,56,-759
55,2017-01-01,-1,976,900,0,Store1,72,-832
56,2017-01-08,0,915,757,0,Store1,79,-911
57,2017-01-15,0,1031,804,0,Store1,75,-986
58,2017-01-22,108,980,872,0,Store1,73,-951
59,2017-01-29,0,935,609,0,Store1,154,-1105
60,2017-02-05,131,766,512,0,Store1,65,-1039
61,2017-02-12,0,818,691,0,Store1,70,-1109
62,2017-02-19,186,972,956,0,Store1,24,-947
63,2017-02-26,0,933,933,0,Store1,34,-981
64,2017-03-05,102,900,900,0,Store1,52,-931
65,2017-03-12,2,999,999,0,Store1,31,-960
66,2017-03-19,0,1082,1082,0,Store1,40,-1000
67,2017-03-26,102,1146,1146,0,Store1,33,-931
68,2017-04-02,-1173,990,990,0,Store1,47,-2151
69,2017-04-09,37,1115,1115,0,Store1,59,-2173
70,2017-04-16,15,1017,1017,0,Store1,82,-2240
71,2017-04-23,74,1057,1057,0,Store1,71,-2237
72,2017-04-30,-10,1026,1026,0,Store1,35,-2282
73,2017-05-07,0,925,925,0,Store1,50,-2332
74,2017-05-14,267,889,889,0,Store1,39,-2104
75,2017-05-21,0,941,941,0,Store1,69,-2173
76,2017-05-28,0,1056,1056,0,Store1,38,-2211
77,2017-06-04,0,792,792,0,Store1,41,-2252
78,2017-06-11,897,968,968,0,Store1,40,-1395
79,2017-06-18,109,1013,1013,0,Store1,41,-1327
80,2017-06-25,0,919,653,0,Store1,119,-1446
81,2017-07-02,0,885,684,0,Store1,118,-1564
82,2017-07-09,0,879,691,0,Store1,64,-1628
83,2017-07-16,0,1080,823,0,Store1,85,-1713
84,2017-07-23,260,957,767,0,Store1,47,-1500
85,2017-07-30,0,1049,814,0,Store1,63,-1563
86,2017-08-06,0,927,723,0,Store1,37,-1600
87,2017-08-13,124,934,825,0,Store1,62,-1538
88,2017-08-20,11,975,917,0,Store1,33,-1560
89,2017-08-27,34,795,789,0,Store1,31,-1557
90,2017-09-03,160,813,813,0,Store1,35,-1432
91,2017-09-10,68,870,869,0,Store1,36,-1400
92,2017-09-17,0,918,918,0,Store1,26,-1426
93,2017-09-24,13,885,885,0,Store1,37,-1450
94,2017-10-01,46,803,800,0,Store1,30,-1434
95,2017-10-08,0,0,0,0,Store1,0,-1434
96,2017-10-15,85,0,0,0,Store1,0,-1349
97,2017-10-22,0,0,0,0,Store1,0,-1349
98,2017-10-29,33,0,0,0,Store1,0,-1316
99,2017-11-05,0,0,0,0,Store1,0,-1316
100,2017-11-12,148,656,654,0,Store1,46,-1214
101,2017-11-19,0,919,919,0,Store1,52,-1266
102,2017-11-26,197,1031,965,0,Store1,38,-1107
103,2017-12-03,44,1022,988,0,Store1,27,-1090
104,2017-12-10,0,963,897,0,Store1,49,-1139
105,2017-12-17,255,746,620,0,Store1,62,-946
106,2017-12-24,198,897,680,0,Store1,112,-860
107,2017-12-31,211,895,660,0,Store1,93,-742
